场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
乌海市海南区谊源供热有限责任公司,内蒙古自治区,乌海市,海南区,谊源供热有限责任公司,黄小乐,c2:9d:f0:e6:df:27," 898608331924D0854176",1号桩,168.55.2.107,320kw
全球行充电站,山东省,淄博市,淄川区,大张庄镇西峪庄村,王祥宇,06:a8:db:47:d3:dd," 898608331924D0856177",1号桩,168.55.3.178,160kw/1-4
冠群新能源乾县临平村委会快充站,陕西省,咸阳市,乾县,临平镇临平村委会,李一睿,2e:32:98:0e:80:0e," 898608331924D0858301",1号桩,168.55.2.248,160kw/1-4
连云港市海州区恒利花园,江苏省,连云港市,海州区,恒利花园5号楼;郁洲北路与海连东路路口南165米,刘召美,9a:2a:73:5b:3e:d3," 898607B11924C0334379",1号桩,168.55.6.73,160kw/1-4
新和发发电站,广西壮族自治区,崇左市,江州区,新和镇新和发电站,蓝汝唯,5e:f0:db:0f:8a:b0," 898607B11924C0338017",1号桩,168.55.0.66,120kw
徐州市新沂新宅庄,江苏省,徐州市,新沂市,马陵山镇新宅庄,刘召美,22:be:d5:15:ab:56," 898607B11924C0333630",1号桩,168.55.4.163,320kw
云快充汽车充电站(公牛永福县南雄加油站内),广西壮族自治区,桂林市,永福县,桂林市永福县永福镇,蓝汝唯,86:27:b3:65:7f:67," 898608331924D0855036",1号桩,168.55.3.24,160kw/1-4
金桥宾馆充电站,辽宁省,朝阳市,建平县,金桥宾馆,赵世震,32:4c:b6:79:ca:cf," 898604F7192392293604",1号桩,168.55.0.215,160kw/1-4
欣光新安镇城头快充站,浙江省,杭州市,,禹城路与越城路交叉路口往东南约130米,包拯,7a:a0:6a:4e:92:d5," 898604F7192392293351",1号桩,168.55.2.31,160kw/1-4
珠山东市景区公牛充电站,江西省,景德镇市,,高岭大道99号,王渊,2a:e7:1f:01:3f:ef," 898608331924D0857484",1号桩,168.55.6.98,160kw/1-4
镇江丹阳陵口镇朝东高头1号,江苏省,镇江市,丹阳市,镇江丹阳陵口镇朝东高头1号,殷昊,5e:ff:55:aa:d5:62," 898608331924D0858344",1号桩,168.55.6.51,160kw/1-4
明澜出行宝鸡新兴村充电站,陕西省,宝鸡市,千阳县,陕西省宝鸡市千阳县明澜出行宝鸡新兴村充电站,李一睿,2a:3f:35:98:53:57," 898607B11924C0337784",1号桩,168.55.4.179,160kw/1-4
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,c6:88:a6:c5:4a:68," 898608331924D0854201",1号桩,168.55.2.103,320kw
